Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2026,Jorge Soler,LAA,32,138,117,27,15,5,0,7,17,26,15,0,44,3,3,0,4,0,0,.231
2026,Isaac Collins,KCR,28,109,91,21,16,3,0,2,12,11,15,0,32,2,1,0,1,1,3,.231
2026,Carter Jensen,KCR,32,119,104,24,16,2,0,6,14,17,13,0,35,1,1,0,1,0,0,.231
2026,Agustín Ramírez,MIA,31,129,113,26,18,5,1,2,14,14,13,1,28,2,1,0,5,3,1,.230
2026,Cam Smith,HOU,35,141,122,28,18,6,0,4,17,17,14,0,40,2,2,0,4,4,0,.230
2026,Roman Anthony,BOS,30,130,109,25,18,5,1,1,12,5,20,1,33,1,0,0,0,2,0,.229
2026,Francisco Alvarez,NYM,32,110,96,22,14,4,0,4,10,8,9,0,24,2,1,0,9,0,0,.229
2026,Brady House,WSN,31,128,118,27,19,4,0,4,14,15,10,0,40,0,0,0,4,1,0,.229
2026,Andrew Benintendi,CHW,33,113,105,24,15,5,2,2,11,16,6,0,38,0,2,0,2,0,0,.229
2026,Miguel Vargas,CHW,34,150,123,28,16,4,1,7,23,18,24,1,26,2,1,0,2,5,0,.228
2026,Francisco Lindor,NYM,24,105,93,21,15,2,2,2,14,5,11,0,19,1,0,0,2,2,1,.226
2026,Colson Montgomery,CHW,35,145,124,28,14,5,0,9,15,23,14,2,41,7,0,0,2,1,1,.226
2026,Nolan Gorman,STL,34,130,116,26,18,3,0,5,13,21,11,1,35,0,3,0,0,0,0,.224
2026,Luis Robert Jr.,NYM,24,98,85,19,14,3,0,2,10,8,13,0,17,0,0,0,2,2,2,.224
2026,Josh Naylor,SEA,33,143,130,29,22,3,0,4,8,17,11,1,24,1,1,0,4,4,2,.223
2026,Luke Keaschall,MIN,34,143,130,29,21,7,0,1,14,15,10,0,23,1,2,0,2,7,0,.223
2026,Nasim Nuñez,WSN,31,116,99,22,21,1,0,0,16,12,14,0,22,1,0,2,0,14,2,.222
2026,Tyler Soderstrom,ATH,32,138,122,27,11,11,1,4,17,19,15,1,28,0,1,0,4,1,0,.221
2026,Manny Machado,SDP,32,134,113,25,16,4,0,5,19,18,19,1,28,0,2,0,3,1,1,.221
2026,Blaze Alexander,BAL,25,85,77,17,15,2,0,0,8,2,5,0,25,1,0,1,4,3,1,.221
2026,Jackson Merrill,SDP,32,140,127,28,18,6,0,4,20,16,10,1,33,1,0,2,4,6,0,.220
2026,Garrett Mitchell,MIL,32,119,96,21,13,6,1,1,15,21,21,1,42,1,0,1,0,5,3,.219
2026,Josh Bell,MIN,33,135,119,26,18,5,0,3,21,17,14,0,25,1,1,0,3,0,0,.218
2026,Dylan Beavers,BAL,27,99,87,19,14,3,0,2,13,10,10,0,24,0,1,1,1,3,1,.218
2026,José Ramírez,CLE,36,157,133,29,15,8,0,6,20,14,24,3,21,0,0,0,1,13,1,.218
2026,Rafael Devers,SFG,35,144,133,29,21,6,0,2,9,14,9,1,43,0,2,0,5,0,0,.218
2026,Josh Smith,TEX,30,108,92,20,18,2,0,0,6,6,14,1,20,1,1,0,1,2,1,.217
2026,Spencer Torkelson,DET,35,136,115,25,13,6,0,6,13,14,20,0,41,1,0,0,1,0,1,.217
2026,Steven Kwan,CLE,33,149,129,28,22,5,0,1,15,9,16,1,17,2,1,1,4,2,1,.217
2026,Victor Caratini,MIN,25,101,83,18,16,1,0,1,6,13,9,0,17,5,4,0,3,0,0,.217
2026,Kyle Karros,COL,34,118,97,21,17,3,0,1,15,5,19,0,28,0,2,0,1,2,0,.216
2026,Jake Burger,TEX,34,141,134,29,18,5,0,6,13,20,5,0,43,1,1,0,3,0,0,.216
2026,Pete Alonso,BAL,35,150,130,28,14,8,0,6,21,15,19,0,37,1,0,0,4,1,0,.215
2026,Gavin Sheets,SDP,30,99,93,20,7,9,0,4,11,12,5,0,23,1,0,0,3,1,0,.215
2026,Ketel Marte,ARI,32,136,126,27,19,3,0,5,17,11,10,0,28,0,0,0,3,0,0,.214
2026,Austin Riley,ATL,36,152,136,29,18,6,0,5,19,22,13,0,39,2,1,0,4,3,0,.213
2026,Corey Seager,TEX,33,143,122,26,14,6,0,6,19,17,18,2,37,1,2,0,4,1,0,.213
2026,Jazz Chisholm Jr.,NYY,34,139,122,26,18,5,0,3,16,12,15,0,37,1,1,0,0,11,2,.213
2026,Kyle Schwarber,PHI,35,156,127,27,9,6,1,11,22,20,25,0,49,4,0,0,1,0,0,.213
2026,Michael Busch,CHC,34,149,127,27,17,7,1,2,15,17,18,0,33,2,2,0,2,0,0,.213
2026,Sal Frelick,MIL,32,125,104,22,17,2,0,3,16,9,15,1,13,1,2,0,2,1,1,.212
2026,Gary Sánchez,MIL,24,89,71,15,7,2,1,5,11,14,17,0,18,1,0,0,2,0,0,.211
2026,Curtis Mead,WSN,26,81,71,15,6,5,0,4,13,12,9,0,13,1,0,0,0,2,0,.211
2026,Brice Matthews,HOU,27,81,71,15,8,4,0,3,7,12,8,0,29,0,1,1,0,2,0,.211
2026,Kerry Carpenter,DET,33,110,95,20,10,2,2,6,11,17,11,0,38,2,2,0,1,0,0,.211
2026,Zach Neto,LAA,36,167,143,30,17,8,0,5,23,15,22,1,54,2,0,0,0,7,3,.210
2026,Brenton Doyle,COL,31,100,91,19,15,3,0,1,14,3,9,0,35,0,0,0,0,7,2,.209
2026,J.P. Crawford,SEA,28,120,96,20,14,3,0,3,16,9,22,0,18,2,0,0,3,1,1,.208
2026,Gunnar Henderson,BAL,34,158,144,30,14,6,1,9,23,19,12,0,49,1,1,0,1,5,1,.208
2026,Marcus Semien,NYM,35,136,125,26,20,5,0,1,8,11,8,0,28,1,1,1,2,4,1,.208
2026,Salvador Perez,KCR,34,143,135,28,18,5,0,5,14,14,4,1,29,3,1,0,5,0,0,.207
2026,Trevor Story,BOS,33,144,135,28,20,6,0,2,11,18,7,0,44,0,2,0,5,2,0,.207
2026,Danny Jansen,TEX,23,81,73,15,8,4,1,2,6,8,7,0,26,1,0,0,4,0,1,.205
2026,Matt Vierling,DET,23,82,73,15,7,7,0,1,8,14,7,0,14,0,2,0,3,1,0,.205
2026,Dansby Swanson,CHC,34,137,112,23,14,2,1,6,24,24,21,0,30,1,3,0,1,2,0,.205
2026,Joc Pederson,TEX,31,93,78,16,13,1,0,2,11,6,12,0,22,1,2,0,4,0,0,.205
2026,Kody Clemens,MIN,24,90,78,16,9,4,0,3,8,9,9,0,26,2,0,1,0,4,2,.205
2026,Logan O'Hoppe,LAA,25,93,78,16,14,1,0,1,9,8,11,0,23,3,1,0,2,0,0,.205
2026,Jarren Duran,BOS,30,127,118,24,15,5,0,4,18,18,8,0,32,1,0,0,0,6,0,.203
2026,Rhys Hoskins,CLE,27,98,79,16,8,6,0,2,14,10,17,0,28,1,1,0,3,0,0,.203
2026,Ryan McMahon,NYY,31,94,84,17,13,2,0,2,8,9,10,0,29,0,0,0,3,1,0,.202
2026,Owen Caissie,MIA,32,103,94,19,11,6,0,2,10,15,5,0,44,1,3,0,1,1,0,.202
2026,Brett Baty,NYM,32,112,99,20,14,4,1,1,12,12,9,0,31,1,2,0,2,2,1,.202
2026,Mike Yastrzemski,ATL,33,113,104,21,16,4,1,0,13,6,8,0,27,1,0,0,1,1,0,.202
2026,Kyle Manzardo,CLE,31,107,95,19,15,2,0,2,5,10,9,0,35,2,1,0,4,0,0,.200
2026,TJ Friedl,CIN,32,137,121,24,16,6,0,2,13,7,10,0,30,3,0,3,1,4,0,.198
2026,Vinnie Pasquantino,KCR,33,142,121,24,14,4,2,4,15,17,16,0,30,1,4,0,1,1,0,.198
2026,Bryson Stott,PHI,29,110,101,20,14,2,2,2,8,11,6,0,20,1,0,2,1,6,0,.198
2026,Austin Wells,NYY,27,100,81,16,12,1,0,3,10,5,18,2,19,0,1,0,3,0,0,.198
2026,Taylor Walls,TBR,23,85,71,14,11,3,0,0,11,6,9,0,21,1,0,4,1,5,1,.197
2026,Willy Adames,SFG,34,144,137,27,13,11,0,3,12,6,6,0,45,1,0,0,1,1,2,.197
2026,Matt McLain,CIN,34,143,123,24,16,6,0,2,13,9,18,0,37,2,0,0,3,5,2,.195
2026,Ezequiel Tovar,COL,35,135,125,24,15,8,0,1,9,9,7,0,38,2,1,0,1,2,0,.192
2026,Carson Benge,NYM,31,109,99,19,13,3,0,3,12,8,10,0,24,0,0,0,1,6,0,.192
2026,Tyler Stephenson,CIN,27,97,84,16,10,4,0,2,5,6,12,0,28,0,1,0,1,0,0,.190
2026,Marcell Ozuna,PIT,29,121,111,21,14,4,0,3,10,13,9,0,32,1,0,0,3,0,0,.189
2026,Luis Rengifo,MIL,30,112,101,19,11,8,0,0,9,11,8,1,13,1,1,1,1,1,0,.188
2026,Cal Raleigh,SEA,33,147,129,24,13,4,0,7,13,18,16,0,43,0,2,0,2,2,1,.186
2026,Jakob Marsee,MIA,34,155,130,24,18,3,2,1,19,8,21,0,39,2,1,1,1,10,2,.185
2026,Alek Thomas,ARI,25,92,87,16,6,8,0,2,10,10,3,0,21,1,0,1,1,4,0,.184
2026,Victor Scott II,STL,31,103,87,16,13,2,0,1,11,5,7,0,27,1,1,7,2,5,2,.184
2026,Joey Ortiz,MIL,25,83,72,13,13,0,0,0,11,8,8,0,17,0,1,2,1,4,2,.181
2026,Lawrence Butler,ATH,32,112,100,18,13,2,0,3,10,12,12,1,30,0,0,0,3,4,2,.180
2026,Trent Grisham,NYY,33,133,108,19,8,5,1,5,21,20,23,0,22,0,2,0,2,1,1,.176
2026,Yoán Moncada,LAA,32,108,91,16,11,1,1,3,9,9,15,0,38,2,0,0,1,0,0,.176
2026,Royce Lewis,MIN,22,84,74,13,8,2,0,3,7,10,9,0,25,1,0,0,1,2,0,.176
2026,Matt Wallner,MIN,29,117,103,18,12,3,0,3,12,8,10,0,42,4,0,0,2,0,1,.175
2026,Evan Carter,TEX,34,121,100,17,10,4,0,3,11,9,16,0,28,1,1,3,0,5,0,.170
2026,Luisangel Acuña,CHW,26,86,77,13,12,1,0,0,7,3,6,0,14,1,1,1,3,6,1,.169
2026,Caleb Durbin,BOS,32,122,109,18,11,6,0,1,13,11,11,0,16,2,0,0,3,3,1,.165
2026,Coby Mayo,BAL,27,94,85,14,8,3,0,3,9,12,8,0,28,0,1,0,2,1,0,.165
2026,Edgar Quero,CHW,25,88,74,12,11,1,0,0,3,5,9,0,20,2,1,2,4,1,0,.162
2026,Henry Davis,PIT,23,84,74,12,7,3,0,2,10,7,7,0,16,2,0,1,2,1,0,.162
2026,Alec Bohm,PHI,33,135,121,19,15,3,0,1,7,15,9,0,22,2,3,0,1,0,0,.157
