ranker,name_display,age,team_name_abbr,comp_name_abbr,p_ip,p_batting_avg,p_onbase_perc,p_slugging_perc,p_onbase_plus_slugging,p_batting_avg_bip,p_home_run_perc,p_strikeout_perc,p_base_on_balls_perc,p_avg_exit_velo,p_hard_hit_perc,p_ld_perc,p_gb_perc,p_fb_perc,p_gb_fb_ratio,p_wpa_def,p_cwpa_def,p_baseout_runs,awards
209,Dennis Santana,30,PIT,NL,14.2,.173,.295,.346,.641,.175,3.3,16.4,13.1,86.3,33.3,28.6,31.0,28.6,0.45,-0.3,-0.3%,1.93,
210,Gregory Soto*,31,PIT,NL,14.2,.122,.232,.204,.436,.179,1.8,35.7,10.7,80.2,24.1,13.8,41.4,20.7,0.80,0.7,0.6%,4.87,
211,Jake Woodford,29,MIL,NL,14.2,.302,.323,.365,.688,.353,1.5,16.9,3.1,90.2,48.1,34.6,36.5,23.1,0.58,0.0,0.0%,0.21,
212,Brandon Young,27,BAL,AL,14.2,.306,.353,.484,.837,.314,4.4,13.2,7.4,90.7,46.3,24.1,40.7,29.6,0.69,0.0,-0.1%,-5.86,
213,Tyler Alexander*,31,TEX,AL,14.1,.264,.310,.283,.593,.333,0.0,20.3,5.1,85.4,23.3,18.6,46.5,25.6,0.91,0.5,0.4%,5.02,
214,Scott Barlow,33,ATH,AL,14.1,.146,.288,.292,.580,.143,3.4,20.3,13.6,87.8,32.4,18.9,40.5,32.4,0.68,0.2,0.1%,1.85,
215,JT Brubaker,32,SFG,NL,14.1,.250,.361,.365,.726,.300,1.6,18.0,14.8,88.4,34.1,31.7,39.0,19.5,0.64,0.0,0.0%,3.27,
216,Brock Burke*,29,CIN,NL,14.1,.192,.288,.288,.577,.286,0.0,28.8,10.2,87.2,38.2,22.9,42.9,20.0,0.75,0.2,0.1%,3.22,
217,Cooper Criswell,29,SEA,AL,14.1,.224,.283,.408,.691,.242,5.7,24.5,5.7,92.5,55.6,8.3,55.6,36.1,1.25,-0.1,0.0%,3.58,
218,Jakob Junis,33,TEX,AL,14.1,.143,.236,.184,.420,.163,0.0,10.9,7.3,84.9,30.2,18.6,48.8,25.6,0.95,0.9,0.5%,6.80,
219,Jordan Leasure,27,CHW,AL,14.1,.222,.323,.519,.841,.200,8.1,22.6,12.9,91.6,42.5,15.0,25.0,52.5,0.33,-0.7,-0.4%,-4.83,
220,Jonathan Loáisiga,31,ARI,NL,14.1,.273,.317,.382,.698,.326,1.7,20.0,5.0,89.0,45.5,25.0,43.2,22.7,0.79,-0.1,0.1%,0.81,
221,Juan Mejia,25,COL,NL,14.1,.322,.385,.390,.774,.429,1.5,24.6,7.7,90.1,37.2,25.6,34.9,30.2,0.54,0.2,0.1%,0.63,
222,Bradgley Rodriguez,22,SDP,NL,14.1,.241,.300,.296,.596,.302,0.0,20.0,8.3,86.4,30.2,18.6,60.5,11.6,1.53,0.0,0.0%,2.17,
223,Eduard Bazardo,30,SEA,AL,14.0,.204,.273,.286,.558,.250,0.0,18.2,9.1,89.7,42.5,32.5,32.5,25.0,0.48,0.6,0.3%,5.49,
224,DL Hall*,27,MIL,NL,14.0,.188,.350,.292,.642,.267,1.7,28.3,18.3,88.2,38.7,22.6,45.2,19.4,0.82,-0.1,0.0%,1.03,
225,Bryan Hudson*,29,CHW,AL,14.0,.250,.356,.292,.648,.375,0.0,29.5,13.1,86.6,35.3,23.5,50.0,20.6,1.13,0.4,0.2%,2.30,
226,Caleb Kilian,29,SFG,NL,14.0,.111,.241,.178,.419,.138,1.9,29.6,13.0,87.8,40.0,16.7,53.3,20.0,1.23,1.1,0.4%,8.51,
227,Tyler Kinley,35,ATL,NL,14.0,.180,.293,.200,.493,.250,0.0,24.1,12.1,79.4,13.9,30.6,36.1,19.4,0.57,0.6,0.4%,4.16,
228,Justin Lawrence,31,PIT,NL,14.0,.222,.311,.444,.756,.257,4.9,26.2,8.2,90.7,42.1,26.3,44.7,23.7,0.81,-0.6,-0.4%,-3.33,
229,Tommy Nance,35,TOR,AL,14.0,.226,.305,.321,.626,.314,1.7,28.3,10.0,84.2,32.4,18.9,48.6,24.3,1.00,-0.3,-0.2%,-2.02,
230,Steven Okert*,34,HOU,AL,14.0,.224,.304,.408,.712,.231,3.5,15.8,10.5,82.9,19.5,16.7,26.2,28.6,0.38,-0.3,-0.1%,-1.03,
231,Cionel Pérez*,30,WSN,NL,14.0,.259,.385,.389,.774,.279,3.1,13.8,16.9,95.0,62.2,13.3,60.0,24.4,1.50,0.1,-0.1%,-1.42,
232,Cade Smith,27,CLE,AL,14.0,.286,.328,.464,.792,.385,1.6,27.9,6.6,90.5,42.5,27.5,32.5,30.0,0.48,0.1,0.1%,-1.05,
233,Lake Bachar,31,MIA,NL,13.2,.170,.273,.319,.592,.200,3.6,28.6,12.5,89.9,37.5,18.8,40.6,31.3,0.68,0.1,0.1%,2.14,
234,Matt Festa,33,CLE,AL,13.2,.246,.279,.439,.717,.286,3.3,23.0,3.3,87.4,40.9,27.3,29.5,27.3,0.42,-0.2,-0.1%,-2.28,
235,Rico Garcia,32,BAL,AL,13.2,.024,.109,.095,.204,.000,2.2,32.6,8.7,82.7,18.5,14.8,59.3,11.1,1.45,0.8,0.4%,7.86,
236,Kevin Ginkel,32,ARI,NL,13.2,.241,.281,.352,.633,.343,1.8,31.6,5.3,90.6,44.4,22.2,50.0,22.2,1.00,0.0,0.0%,-1.35,
237,Brant Hurter*,27,DET,AL,13.2,.167,.212,.271,.482,.175,1.9,15.4,5.8,87.8,32.5,29.3,56.1,14.6,1.28,0.2,0.0%,2.56,
238,John King*,31,MIA,NL,13.2,.048,.180,.119,.299,.034,2.0,26.0,10.0,86.3,23.3,16.7,50.0,26.7,1.00,0.7,0.4%,8.47,
