"entity_name","team_abbr","level","parent_org","total_vs_expected","net_for","net_against","n_challenges","n_overturns","n_confirms","rate_overturns","exp_chal","exp_chal_gained","exp_chal_lost","exp_rate_overturns","net_chal_gained","net_chal_lost","n_strikeouts_flip","n_walks_flip","exp_rate_challenges","exp_rate_challenges_diff","n_challenges_against","n_overturns_against","n_confirms_against","rate_overturns_against","exp_chal_against","exp_chal_gained_against","exp_chal_lost_against","exp_rate_overturns_against","net_chal_gained_against","net_chal_lost_against","n_strikeouts_flip_against","n_walks_flip_against","exp_rate_challenges_against","exp_rate_challenges_diff_against"
"Jonny DeLuca","TB","MLB","TB",1.654409008506169,1.1491755174361165,-0.5052334910700523,1,1,0,1,1.9044873503248498,0.8776559164443667,1.0268314338804831,0.4608357815002889,0.12234408355563334,-1.0268314338804831,0,0,0.06567197759740862,-0.03118921897671896,2,1,1,0.5,1.527858529409256,1.0165460102396544,0.5113125191696017,0.6653404033635891,-0.016546010239654296,0.48868748083039804,0,1,0.023149371657715998,0.007153658645314304
"Daulton Varsho","TOR","MLB","TOR",1.1297820453046312,1.1330589090560153,0.0032768637513840293,1,1,0,1,1.6893162442271024,0.7781286675855436,0.9111875766415589,0.4606175251345871,0.22187133241445636,-0.9111875766415589,0,0,0.039286424284351217,-0.016030610330862845,2,1,1,0.5,1.5816766612542992,0.7891998987514574,0.7924767625028415,0.4989641170563945,0.2108001012485425,0.20752323749715848,0,0,0.012356848916049212,0.0032681510839507877
"Dillon Dingler","DET","MLB","DET",1.3639486647543788,1.104167683145805,-0.25978098160857377,3,2,1,0.6666666666666666,3.19955193527156,1.5476921260628782,1.651859809208683,0.4837215201920199,0.45230787393712185,-0.6518598092086831,2,0,0.049223875927254766,-0.003070029773408612,4,2,2,0.5,3.112301615070229,1.6860412983394015,1.4262603167308272,0.541734544677591,0.3139587016605986,0.5737396832691724,1,0,0.025303265163172592,0.00721706004007944
"Brady House","WSH","MLB","WSH",1.9946536265202384,1.0996151692891045,-0.8950384572311337,4,3,1,0.75,4.7041718094397185,2.802278320075306,1.9018934893644102,0.595700674548506,0.19772167992469417,-0.9018934893644104,2,0,0.06720245442056741,-0.010059597277710264,2,0,2,,1.1049615427688668,0,1.1049615427688668,,0,0.8950384572311337,0,0,0.007620424432888737,0.006172679015387125
"Ernie Clement","TOR","MLB","TOR",0.5979955605781929,1.0889234734368003,0.4909279128586074,3,2,1,0.6666666666666666,1.359500257828176,0.635288392195688,0.7242118656324884,0.4672955290281236,1.364711607804312,0.2757881343675116,0,0,0.024276790318360286,0.029294638253068283,2,1,1,0.5,1.9678789193803092,0.7384755032608507,1.229403416119458,0.3752647055609492,0.26152449673914935,-0.22940341611945803,0,0,0.018221101105373234,0.00029741741314528487
"Curtis Mead","WSH","MLB","WSH",-2.230566965890067,1.0863391463535736,3.3169061122436405,2,1,1,0.5,2.391592088058268,0.6526264708523475,1.7389656172059211,0.2728836886988594,0.34737352914765257,-0.738965617205921,0,0,0.04348349251015032,-0.007119856146513962,3,3,0,1,2.148265755143293,0.9156798214498262,1.2325859336934666,0.4262414085676047,2.0843201785501737,-1.2325859336934666,1,1,0.022147069640652505,0.008780765410893886
"Michael Harris II","ATL","MLB","ATL",-0.29144198144528,1.052351692203548,1.343793673648828,3,2,1,0.6666666666666666,1.2079544755609057,0.5778013916786786,0.6301530838822267,0.47833043659230645,1.4221986083213212,0.3698469161177732,0,0,0.02684343279024235,0.039823233876424315,1,1,0,1,2.359344320555651,1.007775323453411,1.3515689971022393,0.42714211515175077,-0.007775323453411254,-1.3515689971022393,0,0,0.018432377504341024,-0.010619877504341024
"Colson Montgomery","CWS","MLB","CWS",-0.46246116124605074,1.0420776704920083,1.504538831738059,2,1,1,0.5,1.8130065167006386,0.385464423104315,1.4275420935963234,0.2126106109126371,0.614535576895685,-0.4275420935963232,0,0,0.03554914738628703,0.0036665388882227722,2,2,0,1,3.128873674762902,1.8121674215124215,1.3167062532504807,0.5791756427014404,0.18783257848757828,-1.3167062532504807,2,2,0.018624248064064892,-0.0067194861593029885
"Alex Bregman","CHC","MLB","CHC",-0.03832717549983378,1.020843511607817,1.0591706871076507,7,3,4,0.42857142857142855,5.725723165388608,1.8524398268903957,3.8732833384982137,0.3235294081432715,1.1475601731096043,0.12671666150178737,1,1,0.046175186817650066,0.010276426085575741,4,3,1,0.75,5.909937408388378,3.4253833606403634,2.4845540477480133,0.5795972315677121,-0.4253833606403633,-1.484554047748014,1,0,0.02774618501590788,-0.008966842292903185
"Miguel Andujar","SD","MLB","SD",1.206735110724742,1.018265184702229,-0.18846992602251297,1,1,0,1,1.2309107017306904,0.6063227585142308,0.6245879432164598,0.49258062153633586,0.3936772414857692,-0.6245879432164598,0,0,0.03239238688764975,-0.006076597413965537,2,1,1,0.5,1.7721695688028718,0.9803197474126923,0.7918498213901793,0.553174913208172,0.01968025258730763,0.2081501786098206,1,0,0.021878636651887304,0.0028127213728040517
"Alec Bohm","PHI","MLB","PHI",0.38540615327400474,1.0038194424612499,0.6184132891872451,3,2,1,0.6666666666666666,3.613599893772944,1.8048902256558472,1.8087096681170969,0.49947151835101733,0.1951097743441531,-0.8087096681170967,0,0,0.04632820376631979,-0.007866665304781332,7,4,3,0.5714285714285714,4.101753951080773,2.2416703309467634,1.860083620134008,0.5465150659161564,1.7583296690532366,1.1399163798659915,2,1,0.026808849353469104,0.018942784633459
"Elly De La Cruz","CIN","MLB","CIN",2.37296197443594,1.003535519572095,-1.3694264548638453,3,1,2,0.3333333333333333,4.653199920701125,1.324832200564515,3.32836772013661,0.28471422314579914,-0.3248322005645151,-1.3283677201366102,0,0,0.041178760360186945,-0.014630087793815265,3,1,2,0.3333333333333333,3.4561711187636845,1.9127987868137653,1.5433723319499202,0.553444468194618,-0.912798786813765,0.4566276680500803,0,0,0.016859371311042363,-0.002225224969578949
"Xavier Edwards","MIA","MLB","MIA",1.0910337536895212,0.9895891600886515,-0.10144459360086971,2,1,1,0.5,2.3442458915408015,0.6773283657260751,1.6669175258147264,0.28893230363342465,0.322671634273925,-0.6669175258147265,0,0,0.028941307302972858,-0.0042499492782815005,7,3,4,0.42857142857142855,6.28763071210722,2.694537652854045,3.593093059253176,0.42854578715406216,0.3054623471459549,0.4069069407468246,0,1,0.029799197687711946,0.003376157762525022
