"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
643377,"Jax, Griffin","R",218,139,"42.4",-1.479514533297753,5.442614678899083,0.21080659904495577,3.8970924561317437
643410,"Leiter Jr., Mark","R",235,133,"46.7",-1.5068374333454486,5.806127659574468,-0.015726178177267035,4.221647034930026
645261,"Alcantara, Sandy","R",670,146,"34.1",-2.312821404200161,5.943776119402985,-0.1703586384920318,4.490100033921302
647336,"Soroka, Michael","R",468,109,"28.1",-2.388754382835579,5.591324786324786,-0.24384765261971145,4.445200191012691
650556,"Abreu, Bryan","R",197,117,"42.3",-1.7137653180701309,5.709746192893401,0.025277744600378217,4.122769634988282
650633,"King, Michael","R",448,135,"24.4",-2.411496995564543,5.36109375,-0.3524048371052967,4.425409925276929
650644,"Civale, Aaron","R",509,133,"42.1",-1.4203413772036053,6.229842829076621,0.20592330720821994,4.7581910567013015
650911,"Sánchez, Cristopher","L",564,143,"30.3",2.1619507873780965,6.024964539007092,0.16329417880304928,4.85898429144385
656222,"Beeks, Jalen","L",201,140,"44.8",1.9445019838127238,5.93363184079602,0.2970582918739635,4.296006006952759
656271,"Burke, Brock","L",236,113,"43.4",1.8016955836792876,6.34135593220339,0.07314792591921206,4.702777617526209
656302,"Cease, Dylan","R",602,141,"52.0",-1.3926310010361318,6.102508305647841,-0.03317005169932667,4.36296613220341
656427,"Flaherty, Jack","R",502,116,"26.5",-2.017147697047557,5.311713147410359,-0.019831548316537776,4.316363896641597
656464,"Ginkel, Kevin","R",211,109,"42.5",-1.6754953280710991,6.561374407582939,0.12144933049480024,4.910621860506374
656492,"Griffin, Foster","L",540,120,"45.6",1.6521644605806964,5.843277777777778,0.04579987291212782,4.202617668185119
656546,"Hoffman, Jeff","R",251,141,"30.0",-2.2382657543179363,5.537290836653386,-0.05902024522231929,4.276008905554254
656550,"Holmes, Grant","R",489,144,"40.5",-1.8984306874463908,5.833619631901841,-0.2090364498467169,4.388191211647329
656605,"Keller, Mitch","R",512,134,"35.7",-1.8131606489780494,5.69708984375,-0.048184852314505346,4.429122102690508
656638,"Lange, Alex","R",272,118,"42.1",-1.6206497253069398,5.857058823529412,0.13865987797525428,4.268994272963196
656641,"Latz, Jacob","L",254,140,"52.2",1.1281020167057842,6.028740157480315,-0.25672392065630834,4.237510144988561
656794,"Newcomb, Sean","L",307,145,"25.5",2.646435277289413,5.826905537459283,0.3187290961928153,4.716671871135188
656848,"Petersen, Michael","R",195,146,"51.2",-1.1702167252287101,6.508820512820513,0.34870877462406874,4.617723832899127
656849,"Peterson, David","L",490,121,"41.5",1.7813651899472396,6.15469387755102,-0.06778582851322347,4.517278409181855
656876,"Rasmussen, Drew","R",427,139,"51.8",-1.2522984791259846,5.79791569086651,0.1530075027030186,4.01134180244378
657097,"Webb, Jacob","R",213,112,"32.8",-2.2884663978251076,5.5492488262910795,-0.3618913400784983,4.308710837873348
657277,"Webb, Logan","R",577,137,"21.0",-2.6873122529315907,4.9049393414211435,-0.5530387230959818,4.086939204410298
657424,"Gage, Matt","L",203,137,"49.7",1.5825717412026008,6.423349753694581,0.0343826826655427,4.596282042095835
657514,"Bernardino, Brennan","L",196,115,"14.3",2.4707695919160133,4.886428571428572,0.2958161601004038,4.334151360998945
657746,"Ryan, Joe","R",627,142,"24.8",-2.040865121113423,4.788373205741626,0.03896910549343704,3.8236189211279696
657756,"Seabold, Connor","R",200,116,"32.6",-2.2273957273278615,5.28235,-0.43435961497326203,4.135522940730838
660271,"Ohtani, Shohei","R",473,119,"35.2",-2.0171036642360933,5.718033826638478,-0.15338106974483048,4.404933723756656
660761,"Suarez, José","L",260,144,"42.3",1.8031587656970198,5.772461538461538,0.19907651343754285,4.3136584467983
660825,"Bazardo, Eduard","R",221,136,"41.5",-1.6276836458049486,5.800271493212669,0.1292870431759705,4.245400802945612
661563,"Gil, Luis","R",336,147,"34.6",-2.048568002603552,5.661934523809524,-0.11040085147695441,4.324412827327901
662253,"Muñoz, Andrés","R",225,136,"28.3",-1.9812139763033876,5.3279555555555556,-0.09627280728857202,4.3140611158645275
663362,"Waldron, Matt","R",246,135,"29.9",-2.369651194475669,5.481138211382114,-0.43338987435328896,4.366420223758388
663372,"Feltner, Ryan","R",326,115,"43.1",-1.6967523524893635,5.465644171779141,-0.03758810515840469,3.909225899467428
663436,"Martin, Davis","R",543,145,"36.4",-2.107035619477952,5.853278084714549,-0.2516627342649767,4.486291423333103
663460,"Bubic, Kris","L",537,118,"38.5",1.9690988288711073,5.603389199255121,0.180287039471282,4.178224011724209
663542,"Hudson, Bryan","L",274,145,"15.0",2.8330443722944754,5.157408759124087,0.36470002049260314,4.493580489415407
663554,"Mize, Casey","R",470,116,"43.5",-1.7287975751148306,5.797170212765957,-0.12392750369780407,4.274669944627754
663556,"McClanahan, Shane","L",407,139,"38.7",1.7745664545240707,6.115995085995086,0.06847133497133498,4.748419873689927
663558,"Morán, Jovani","L",278,111,"48.1",1.5262141530713436,5.815971223021583,0.10244267078315956,4.228698759922543
663574,"Santillan, Tony","R",193,113,"21.0",-2.2732052308438826,5.164818652849741,-0.0939566055249231,4.327904102130725
663623,"Irvin, Jake","R",519,120,"26.3",-2.231190861221789,5.381811175337187,-0.176041463942382,4.363442120971703
663687,"Harris, Hogan","L",321,133,"56.7",1.154787805295341,6.094330218068536,-0.13394276964254972,4.127770470788145
663765,"Woodford, Jake","R",208,158,"25.1",-2.502161931390411,4.932451923076923,-0.41492953817016315,3.954320586949815
663855,"Hicks, Jordan","R",214,145,"30.8",-2.351180379507192,5.732383177570093,-0.3181700909590684,4.521104043597048
663903,"Singer, Brady","R",507,113,"24.3",-2.093821872572478,5.193885601577909,-0.19649399318630087,4.336502069599581
663947,"Holton, Tyler","L",243,116,"38.0",1.9517412475117912,5.820905349794239,0.14413202320958313,4.407985320892292
663969,"Phillips, Tyler","R",321,146,"33.8",-1.9057061388683487,6.008722741433022,0.09367889116564215,4.675328280884713
663978,"Paddack, Chris","R",512,146,"46.5",-1.5758840103094356,6.09849609375,0.08803593384441845,4.346344674513982
663992,"Lovelady, Richard","L",213,9999,"20.2",2.5615736668748554,5.289718309859155,0.6295117973437775,4.578158997598186
664141,"Brubaker, JT","R",238,137,"46.7",-1.493264503946786,6.301008403361345,0.2124173246303869,4.486914096226726
664199,"Clarke, Taylor","R",196,109,"43.9",-1.621426015179741,6.108469387755102,0.12985626386918406,4.418140245643712
664285,"Valdez, Framber","L",523,116,"43.2",1.7677004573284758,5.990458891013384,0.18540738779085422,4.5055974011854
664875,"Lawrence, Justin","R",230,134,"3.8",-2.9998988015270296,4.364217391304348,-0.5805971898008215,4.202858974657056
665795,"Cabrera, Edward","R",548,112,"33.6",-2.226706471397681,5.953503649635037,-0.15502285592073592,4.578683777665014
665871,"Assad, Javier","R",321,112,"51.1",-1.216497925699451,5.929408099688474,0.18983410132107217,4.186258534215159
666142,"Ragans, Cole","L",484,118,"42.3",1.7400169942428736,6.280702479338843,-0.01623975449684006,4.685333442531784
