name,team,k_pct,bb_pct,woba,wrc_plus,iso
Daniel Johnson,HOU,25.2,6.4,0.295,88,0.153
Amed Rosario,NYY,17.3,4.5,0.302,94,0.152
Tyler Freeman,COL,11.6,6.6,0.321,92,0.094
Will Wilson,SEA,28.1,7.6,0.26,70,0.118
Isaac Collins,KCR,23.6,12.5,0.312,96,0.126
Thomas Saggese,STL,27.7,6.2,0.277,77,0.105
Tyler Heineman,TOR,21.3,6.3,0.249,57,0.063
Otto Kemp,PHI,29.1,6.9,0.304,92,0.153
Edgar Quero,CHW,19.3,9.3,0.276,75,0.075
Derek Hill,CHW,29.8,7.7,0.296,88,0.127
Tristan Peters,CHW,21.0,7.9,0.287,82,0.102
Pavin Smith,ARI,25.7,12.5,0.324,107,0.164
Jo Adell,LAA,25.1,5.3,0.312,98,0.183
Jerar Encarnacion,SFG,29.3,6.3,0.296,91,0.146
Nick Allen,HOU,20.0,7.7,0.267,69,0.072
Jake Burger,TEX,27.2,4.8,0.302,94,0.196
Brett Sullivan,COL,16.7,6.6,0.299,77,0.134
Bryce Johnson,SDP,28.0,8.1,0.287,86,0.098
Luis Matos,MIL,15.5,5.6,0.291,85,0.149
Christopher Morel,MIA,30.3,9.6,0.311,97,0.185
Salvador Perez,KCR,20.6,4.3,0.295,85,0.176
Joc Pederson,TEX,24.2,12.2,0.322,108,0.168
Juan Brito,CLE,22.6,9.5,0.287,84,0.129
Adrian Del Castillo,ARI,30.0,7.4,0.289,83,0.157
Austin Slater,NYM,30.7,11.2,0.281,80,0.099
Ke'Bryan Hayes,CIN,18.1,7.1,0.259,58,0.098
MJ Melendez,NYM,30.7,7.9,0.317,106,0.203
Braden Shewmake,HOU,21.4,5.7,0.263,66,0.127
Garrett Stubbs,PHI,23.0,8.1,0.279,75,0.107
Blake Perkins,MIL,26.6,10.5,0.274,74,0.106
Mitch Garver,SEA,29.1,12.5,0.285,88,0.125
Aramis Garcia,ARI,36.0,7.0,0.257,60,0.106
Scott Kingery,CHC,33.3,6.9,0.259,65,0.121
Jorge Polanco,NYM,19.6,9.6,0.317,106,0.18
Yohel Pozo,STL,10.1,2.7,0.278,78,0.132
Jorge Soler,LAA,29.8,10.7,0.326,108,0.206
Adam Frazier,LAA,20.5,7.4,0.294,86,0.115
Andy Ibanez,NYM,18.6,7.0,0.287,79,0.118
Santiago Espinal,LAD,12.6,6.0,0.272,73,0.083
